None,High_School,Associates,Bachelors,Graduate,Europe,Asia,Africa,Oceania,Americas,Never_Married,Married,Divorced,Separated,Widowed,Female,Male,Black,American_Indian_Alaskan_Native,Asian,Native_Hawaiian_Pacific_Islander,Hispanic_Latino,White,Other,Two_or_More,Median_Income,Unemployment,Population,Nursery_Pre-School,Kindergarten,1st_4th,5th_8th,9th_12th,Violent_Crime
2667,5456,4057,916,414,,45,10,0,0,7998,4393,1883,1114,1639,11620,10307,19493,100,67,0,222,2097,24,124,16669,985,21927,483,574,1368,1041,1153,263
500,1840,1298,508,239,,0,0,0,0,895,3021,521,86,437,3130,3021,683,0,0,0,53,5269,60,86,26083,150,6151,68,98,308,351,185,16
122,408,458,285,91,,3,10,0,0,295,935,199,5,117,965,866,35,0,3,0,7,1770,0,23,38989,30,1831,12,32,77,75,91,2
504,2201,2800,993,639,,0,12,0,0,2064,4449,1264,66,599,5371,4814,6084,0,9,0,48,3945,0,117,35050,352,10185,94,70,405,921,530,16
534,1070,1397,428,459,,0,15,0,0,535,2862,507,0,296,2756,2364,47,17,0,0,14,4883,16,143,30326,73,5120,85,18,113,394,116,8
147,1180,1059,421,219,,0,0,0,0,870,1670,577,25,292,2374,1897,0,0,0,0,40,4231,0,0,27101,44,4271,69,0,197,245,160,3
121,285,249,100,27,,7,0,0,0,265,451,142,36,90,607,570,129,0,14,0,39,968,0,27,25152,55,1177,14,12,61,57,88,8
1296,2059,1802,902,495,,9,7,0,0,2145,3007,1298,161,819,4954,4032,2056,42,10,29,275,6265,45,324,21838,187,8986,57,74,520,478,260,73
153,271,219,7,7,,0,0,0,0,210,364,124,20,75,559,478,10,0,0,0,0,1021,0,6,14821,25,1037,11,17,81,36,56,3
658,1185,968,597,330,,105,10,0,0,1155,1790,702,136,495,2815,2448,2292,0,105,0,114,2666,22,64,26533,186,5263,162,31,300,231,226,31
70,228,196,100,30,,0,0,0,0,276,308,134,14,53,578,464,138,0,0,0,56,766,0,82,21205,11,1042,12,16,50,81,139,10
109,570,481,201,53,,9,0,0,0,433,983,225,34,98,1170,1022,222,0,0,0,45,1914,0,17,30308,42,2192,22,42,87,147,149,7
5821,13187,15732,7306,4298,,602,93,0,0,17168,23889,7854,1449,4136,35846,32026,23061,185,779,18,2287,40510,315,1315,24573,2406,67872,950,1015,3782,3513,3446,670
1115,3215,3070,1133,749,,119,0,0,0,2813,5248,1496,320,1006,6922,6805,2003,8,225,0,609,10607,182,285,25106,397,13727,206,229,776,692,602,74
657,1916,2180,1084,419,,327,0,0,0,1634,4140,957,149,534,4590,4507,1529,88,358,4,885,6099,382,120,33137,134,9097,229,34,399,340,402,46
1618,3547,5030,2241,1075,,39,0,0,0,4468,6216,2378,325,2053,9755,8063,2805,53,65,0,1129,13581,221,107,22914,505,17818,285,102,381,963,784,48
331,777,581,133,70,,0,0,0,0,555,1045,371,87,161,1308,1253,184,13,1,0,144,2140,113,79,17493,59,2561,26,58,81,107,159,6
637,3411,5754,4878,2457,,405,0,0,0,5600,10428,2692,234,1086,13189,12172,3787,0,406,0,885,19709,284,705,32841,589,25361,530,177,1723,1450,1278,36
143,240,284,82,51,,0,0,0,0,143,571,98,10,59,505,587,0,0,0,0,5,1078,0,9,23726,55,1092,3,4,37,71,47,4
519,1257,1034,279,148,,25,0,0,0,783,1979,510,103,417,2512,2139,465,25,25,0,231,3777,11,128,20760,156,4651,69,68,281,211,261,23
387,694,527,96,185,,0,0,0,0,720,915,239,72,286,1269,1313,1025,0,0,0,124,1433,9,0,21343,55,2582,21,0,56,148,111,18
965,1896,1183,655,366,,200,0,0,0,2277,2127,848,215,478,4055,3659,4353,0,205,0,28,2987,0,169,19795,268,7714,41,111,488,325,426,109
2221,4730,7026,4801,2748,,387,34,0,0,6512,15199,2222,402,1246,16642,16236,4762,113,417,6,3111,23466,2503,909,34525,680,32878,543,443,2110,2042,1853,92
222,442,279,84,31,,0,0,0,0,245,669,153,60,92,799,707,339,0,0,0,3,1135,0,29,25034,61,1506,9,17,92,100,73,7
205,389,259,50,12,,0,0,0,0,239,418,172,24,133,677,614,327,11,0,0,14,922,0,17,15268,66,1291,9,13,102,63,38,2
1407,3536,2733,1077,563,,62,0,0,0,3145,5842,1332,291,748,7806,6462,1804,199,94,11,158,11498,176,435,29219,464,14268,209,126,932,914,867,51
299,676,651,276,52,,6,0,0,0,484,1212,416,52,105,1465,1391,12,46,6,8,5,2722,5,57,24614,81,2856,18,17,224,182,128,14
1692,3718,7743,9348,7850,,4702,344,0,0,29603,19275,3281,442,1018,31852,31144,10737,56,5382,0,2720,43668,229,675,19262,1484,62996,920,693,2117,2687,2787,240
2355,6097,6413,3272,2451,,449,0,0,0,8191,10602,3083,715,1675,15759,14039,12957,40,805,18,461,15022,58,587,25313,891,29798,317,359,1199,1836,1271,168
174,338,171,33,20,,0,0,0,0,382,293,150,27,66,594,494,538,0,0,0,27,508,8,15,15815,47,1088,4,40,50,45,130,3
243,470,419,127,19,,5,0,0,0,512,682,177,80,145,1270,874,632,6,12,0,20,1362,0,112,17500,99,2144,35,40,158,144,177,13
94,210,119,39,17,,0,0,0,0,159,233,131,23,33,376,376,190,0,0,0,5,545,0,12,20366,52,752,2,12,34,86,78,3
490,848,869,363,132,,0,0,0,0,524,1787,360,107,272,1909,1842,200,0,0,0,113,3454,0,36,32426,51,3751,158,67,197,187,194,15
901,1341,1359,398,253,,12,0,0,0,1387,1886,774,157,733,3195,2746,2673,0,0,0,232,3033,0,132,23578,143,5941,0,176,146,199,336,41
44,264,134,28,34,,0,0,0,0,274,251,33,41,48,400,382,485,3,0,0,0,294,0,0,15599,34,782,7,10,36,47,32,7
5194,7988,7551,2411,1548,,405,195,0,0,10308,10499,4944,926,2929,18321,17303,12884,415,387,0,2358,19522,453,706,19332,1289,35624,411,378,1685,1422,1754,372
185,508,232,51,17,,12,0,0,0,446,433,112,43,89,681,562,941,16,12,0,6,259,0,15,15508,62,1243,4,21,43,21,32,10
503,883,431,132,58,,42,0,0,0,649,967,368,61,343,1621,1481,0,0,5,0,22,2930,9,151,20696,130,3102,20,46,172,244,222,7
355,376,378,96,42,,5,0,0,0,396,583,311,80,243,1048,895,451,25,5,0,64,1376,11,24,16963,92,1943,29,19,93,77,103,52
212,569,526,157,115,,2,0,0,0,586,932,179,57,138,1266,1080,494,4,2,0,62,1747,3,49,23208,39,2346,20,37,130,105,157,4
112,757,644,237,213,,32,7,0,0,534,1500,194,13,147,1656,1417,185,0,10,0,25,2732,0,121,40406,28,3073,63,85,217,169,194,7
643,768,402,102,50,,0,0,0,0,817,1076,318,80,228,1685,1430,1536,40,0,0,61,1523,0,0,15952,225,3115,7,96,207,65,166,22
662,2128,3211,2027,889,,150,33,0,0,2361,5823,1457,227,432,6901,6656,4218,0,158,0,342,8606,203,217,32761,146,13557,244,226,869,727,681,265
193,553,682,187,98,,113,0,0,0,352,1080,280,14,155,1230,1270,252,0,159,0,84,1943,0,81,31065,54,2500,40,46,150,140,127,6
684,2715,3431,1187,429,,93,0,0,0,2253,5454,1330,257,707,6369,6383,1511,0,109,0,90,10944,22,143,30315,253,12752,112,234,795,805,439,56
149,535,370,175,84,,0,0,0,0,762,558,196,22,138,1181,961,1218,11,0,0,11,913,0,0,19771,35,2142,31,6,90,211,139,26
326,539,290,90,29,,0,0,0,0,747,288,128,106,199,1157,812,1790,0,0,0,0,176,3,0,11161,78,1969,40,28,81,196,200,18
297,484,364,78,84,,0,0,0,0,619,440,225,83,189,976,931,1172,0,0,0,218,637,65,33,17959,51,1907,78,36,94,70,152,10
613,712,669,107,111,,0,0,0,0,913,708,252,209,369,1898,824,2182,0,0,0,0,540,0,0,14549,157,2722,0,0,127,26,142,31
162,354,371,158,48,,0,0,0,0,312,726,165,15,44,873,762,286,0,0,0,81,1207,0,61,29412,27,1635,35,9,117,101,103,6
313,660,434,35,34,,0,0,0,0,341,942,326,37,78,983,1076,0,31,0,0,116,1857,116,55,24602,78,2059,19,3,110,92,134,1
73,265,247,64,81,,0,0,0,0,317,342,138,16,48,392,588,252,0,0,0,69,657,0,2,24839,31,980,4,0,0,88,53,8
274,653,338,105,81,,0,0,0,0,294,810,244,84,156,1040,1043,359,0,0,0,0,1684,0,40,17832,55,2083,18,55,231,80,62,9
255,555,623,224,102,,10,0,0,0,399,1275,300,14,126,1381,1591,206,49,27,0,546,2119,113,20,32778,53,2972,72,67,282,194,204,10
303,2254,3602,2115,1309,,11,0,0,0,2665,5476,1810,87,880,6584,5449,39,15,94,0,384,11439,62,62,29000,295,12033,46,93,220,437,566,24
64,276,198,90,30,,6,0,0,0,228,415,118,9,40,509,517,100,3,6,0,30,856,11,37,23047,11,1026,3,3,47,71,75,24
130,398,347,304,256,,225,0,0,0,1845,688,157,23,256,2053,1357,1698,0,338,0,0,1374,0,0,10539,121,3410,50,52,153,49,234,18
1635,2398,2519,1882,1206,,1128,51,0,0,9395,4391,1245,146,998,10269,8872,7593,81,684,0,87,10178,21,535,17856,694,19141,255,140,890,656,591,303
554,1444,767,289,258,,24,0,0,0,1306,1698,347,253,297,2649,2202,2458,0,24,0,1,2368,0,0,21893,286,4851,96,56,210,275,222,20
628,990,966,423,103,,24,0,0,0,1181,1661,193,85,310,2004,1993,1836,0,64,0,8,2089,0,0,18975,143,3997,29,50,231,188,135,23
689,747,831,159,68,,0,0,0,0,879,1071,541,79,505,1774,1566,250,0,0,0,152,2924,15,61,17873,130,3340,0,16,97,122,197,9
287,1103,1700,1682,772,,72,0,0,0,1669,3453,749,25,632,4582,3742,484,16,146,0,290,7026,170,362,41056,108,8324,197,107,433,761,370,33
1222,2688,2777,886,523,,0,14,0,0,3262,4025,1278,329,731,6732,5665,4207,45,0,5,437,7601,225,102,19971,477,12397,135,163,839,727,637,77
517,1039,863,506,280,,0,0,0,0,909,1993,462,54,233,2511,2150,1537,0,0,0,17,3071,17,36,24429,160,4661,27,7,249,313,254,5
1848,4389,6844,3678,1889,,398,0,0,0,5628,11531,2729,726,1382,14445,13414,6330,223,494,0,2322,17646,303,960,29889,684,27859,398,342,1286,1837,1715,127
570,987,503,293,90,,7,0,0,0,746,1296,411,62,296,1929,1354,538,74,7,0,0,2617,0,47,20944,67,3283,0,28,166,156,179,7
