State,City,Unemployment Count
Alaska,Eureka Roadhouse,0
Alaska,Chena Ridge,50
Alaska,Badger,815
Alaska,Clark's Point,7
Alaska,Haines,51
Alaska,Wrangell city and borough,67
Alaska,Gustavus,22
Alaska,Nunam Iqua,19
Alaska,Adak,0
Alaska,Sleetmute,8
Alaska,Selawik,80
Alaska,Tatitlek,2
Alaska,Lake Minchumina,0
Alaska,Trapper Creek,25
Alaska,Glacier View,17
Alaska,St. George,8
Alaska,Eagle Village,5
Alaska,Dot Lake,0
Alaska,Clam Gulch,8
Alaska,Bear Creek,27
Alaska,Sand Point,51
Alaska,Pitkas Point,17
Alaska,Whitestone Logging Camp,0
Alaska,White Mountain,20
Alaska,Unalakleet,36
Alaska,Kasaan,2
Alaska,Hyder,0
Alaska,Hollis,0
Alaska,Port Alexander,3
Alaska,Unalaska,61
Alaska,Saxman,25
Alaska,Nabesna,0
Alaska,Kupreanof,0
Alaska,Port Alsworth,1
Alaska,Chuathbaluk,24
Alaska,Red Devil,4
Alaska,Noorvik,50
Alaska,Ugashik,1
Alaska,Sunrise,0
Alaska,Seward,98
Alaska,Lowell Point,0
Alaska,Holy Cross,14
Alaska,Flat,0
Alaska,Anvik,8
Alaska,Willow,70
Alaska,Talkeetna,75
Alaska,Skwentna,15
Alaska,Thorne Bay,19
Alaska,Yakutat,23
Alaska,Nondalton,17
Alaska,Point Possession,0
Alaska,Birch Creek,0
Alaska,Tuntutuliak,72
Alaska,Koyuk,28
Alaska,Naknek,17
Alaska,Marshall,27
Alaska,North Pole,85
Alaska,Moose Creek,24
Alaska,Tok,48
Alaska,Big Delta,0
Alaska,Prudhoe Bay,0
Alaska,Sitka city and borough,216
Alaska,Point Lay,20
Alaska,Willow Creek,0
Alaska,Wales,8
Alaska,Paxson,0
Alaska,Chisana,0
Alaska,Nanwalek,22
Alaska,Moose Pass,0
Alaska,Covenant Life,0
Alaska,Chignik Lagoon,0
Alaska,Nikolski,0
Alaska,Mud Bay,0
Alaska,Edna Bay,0
Alaska,Fort Greely,0
Alaska,Kachemak,8
Alaska,Whale Pass,0
Alaska,McCarthy,0
Alaska,Utqiagvik,317
Alaska,Pelican,8
Alaska,Wiseman,0
Alaska,Chicken,0
Alaska,Alcan Border,0
Alaska,Russian Mission,19
Alaska,Hydaburg,11
Alaska,Lutak,0
Alaska,Kokhanok,22
Alaska,Igiugig,0
Alaska,Atka,0
Alaska,Healy Lake,0
Alaska,Dot Lake Village,10
Alaska,Delta Junction,49
Alaska,Nulato,33
Alaska,Port Clarence,0
Alaska,King Salmon,15
Alaska,Shaktoolik,29
Alaska,Knik River,48
Alaska,Chickaloon,27
Alaska,Buffalo Soapstone,44
Alaska,Oscarville,8
Alaska,Lime Village,2
Alaska,Akiachak,29
Alaska,Shungnak,25
Alaska,Noatak,47
Alaska,Cold Bay,0
Alaska,Elim,33
Alaska,Denali Park,9
Alaska,Petersburg,70
Alaska,Whitestone,0
Alaska,South Van Horn,108
Alaska,Susitna North,46
Alaska,Steele Creek,425
Alaska,Northway,15
Alaska,Skagway,43
Arizona,Bowie,26
Arizona,Brenda,0
Arizona,Bryce,0
Arizona,Buckshot,0
Arizona,Cactus Flats,44
Arizona,Cactus Forest,7
Arizona,Campo Bonito,31
Arizona,Cane Beds,9
Arizona,Carrizo,12
Arizona,Wellton Hills,0
Arizona,Casa Blanca,28
Arizona,Bylas,237
Arizona,Beyerville,4
Arizona,Bear Flat,0
Arizona,Beaver Dam,198
Arizona,Aztec,0
Arizona,Avenue B and C,196
Arizona,Washington Park,0
Arizona,Arlington,6
Arizona,Arivaca Junction,109
Arizona,Walnut Creek,0
Arizona,Wall Lane,19
Arizona,Wahak Hotrontk,19
Arizona,Wagon Wheel,0
Arizona,Village of Oak Creek (Big Park),77
Arizona,Vicksburg,6
Arizona,Vernon,0
Arizona,Verde Village,353
Arizona,Beaver Valley,0
Arizona,Cedar Creek,45
Arizona,Charco,0
Arizona,Central,33
Arizona,Benson,144
Arizona,Rock Point,12
Arizona,Douglas,506
Arizona,Huachuca City,85
Arizona,Black Canyon City,79
Arizona,Camp Verde,212
Arizona,Cornville,153
Arizona,Lake Montezuma,353
Arizona,Coolidge,660
Arizona,Florence,348
Arizona,Cornfields,21
Arizona,Nazlini,0
Arizona,Kykotsmovi Village,20
Arizona,Winslow,387
Arizona,Ajo,209
Arizona,Marana,872
Arizona,Tacna,81
Arizona,Window Rock,153
Arizona,Sierra Vista,1127
Arizona,Copper Hill,0
Arizona,Concho,0
Arizona,Comobabi,8
Arizona,Clacks Canyon,0
Arizona,Citrus Park,88
Arizona,Cienega Springs,45
Arizona,Clay Springs,57
Arizona,Christopher Creek,0
Arizona,Chloride,0
Arizona,Chiawuli Tak,0
Arizona,Centennial Park,40
Arizona,Ventana,35
Arizona,Wikieup,20
Arizona,Valle,1
Arizona,Wheatfields,0
Arizona,Whispering Pines,0
Arizona,Whitecone,76
Arizona,White Hills,10
Arizona,White Mountain Lake,109
Arizona,Tusayan,0
Arizona,Why,0
Arizona,Whetstone,72
Arizona,Theba,0
Arizona,Red Rock CDP (Pinal County),132
Arizona,Cottonwood,0
Arizona,Cowlic,41
Arizona,Crozier,0
Arizona,Crystal Beach,0
Arizona,Kohls Ranch,0
Arizona,Komatke,62
Arizona,Lake of the Woods,161
Arizona,La Paz Valley,0
Arizona,Red Rock CDP (Apache County),25
Arizona,Morristown,31
Arizona,Ko Vaya,0
Arizona,Gold Canyon,207
Arizona,Buckeye,1498
Arizona,Yucca,7
Arizona,York,34
Arizona,Woodruff,0
Arizona,Wittmann,45
Arizona,Wintersburg,0
Arizona,Willow Canyon,0
Arizona,Wet Camp Village,0
Arizona,Valle Vista,68
Arizona,Sehili,13
