State,City,Europe,Asia,Africa,Oceania,Americas
Alabama,Jasper,0.0,119.0,0.0,0.0,0.0
Alabama,Kansas,0.0,0.0,0.0,0.0,0.0
Alabama,Fultondale,0.0,327.0,0.0,0.0,0.0
Alabama,Foley,169.0,39.0,0.0,0.0,0.0
Alabama,Underwood-Petersville,0.0,119.0,0.0,0.0,0.0
Alabama,Guin,0.0,0.0,0.0,0.0,0.0
Alabama,Daphne,264.0,405.0,0.0,0.0,0.0
Alabama,Silverhill,0.0,0.0,0.0,0.0,0.0
Alabama,Leesburg,0.0,0.0,0.0,0.0,0.0
Alabama,Rainsville,0.0,0.0,0.0,0.0,0.0
Alabama,Piedmont,0.0,25.0,0.0,0.0,0.0
Alabama,Huntsville,1397.0,4484.0,1010.0,0.0,0.0
Alabama,Castleberry,0.0,0.0,0.0,0.0,0.0
Alabama,Abbeville,4.0,0.0,0.0,0.0,0.0
Alabama,Greenville,15.0,200.0,0.0,0.0,0.0
Alabama,Evergreen,22.0,0.0,0.0,0.0,0.0
Alabama,East Brewton,0.0,0.0,0.0,0.0,0.0
Alabama,Hurtsboro,2.0,6.0,0.0,0.0,0.0
Alabama,Haleburg,0.0,0.0,0.0,0.0,0.0
Alabama,Newville,2.0,0.0,0.0,0.0,0.0
Alabama,Louisville,0.0,0.0,0.0,0.0,0.0
Alabama,Orrville,0.0,0.0,0.0,0.0,0.0
Alabama,Cuba,0.0,0.0,0.0,0.0,0.0
Alabama,Gainesville,0.0,0.0,0.0,0.0,0.0
Alabama,Libertyville,0.0,0.0,0.0,0.0,0.0
Alabama,Alabaster,60.0,387.0,34.0,0.0,0.0
Alabama,Harpersville,4.0,0.0,0.0,0.0,0.0
Alabama,Gantt,2.0,0.0,0.0,0.0,0.0
Alabama,Glen Allen,0.0,4.0,0.0,0.0,0.0
Alabama,Franklin,0.0,0.0,0.0,0.0,0.0
Alabama,Blue Springs,0.0,3.0,0.0,0.0,0.0
Alabama,Hobson City,0.0,0.0,0.0,0.0,0.0
Alabama,Cottonwood,0.0,0.0,0.0,0.0,0.0
Alabama,Chickasaw,23.0,0.0,12.0,0.0,0.0
Alabama,Saraland,35.0,62.0,0.0,0.0,0.0
Alabama,Cordova,0.0,0.0,0.0,0.0,0.0
Alabama,New Market,0.0,0.0,0.0,0.0,0.0
Alabama,Repton,0.0,0.0,0.0,0.0,0.0
Alabama,New Hope,0.0,6.0,0.0,0.0,0.0
Alabama,Gurley,0.0,0.0,0.0,0.0,0.0
Alabama,Auburn,522.0,4702.0,344.0,0.0,0.0
Alabama,Opelika,144.0,449.0,0.0,0.0,0.0
Alabama,Leighton,0.0,0.0,0.0,0.0,0.0
