State,City,Female,Male
Alabama,Thomaston,178.0,162.0
Alabama,Southside,4460.0,4328.0
Alaska,Nelson Lagoon,29.0,45.0
Alaska,Chiniak,0.0,0.0
Alaska,Womens Bay,499.0,468.0
Alaska,Ouzinkie,103.0,68.0
Alaska,Larsen Bay,25.0,27.0
Alaska,Savoonga,425.0,496.0
Alaska,Atmautluak,112.0,97.0
Alaska,Brevig Mission,211.0,196.0
Alaska,Kodiak Station,571.0,783.0
Alaska,Eek,259.0,232.0
Alaska,Crooked Creek,41.0,49.0
Alaska,Bethel,3098.0,3326.0
Alaska,Kalifornsky,3923.0,4211.0
Alaska,Beluga,0.0,4.0
Alaska,Nome,1869.0,1944.0
Alaska,Funny River,585.0,666.0
Alaska,Chevak,495.0,649.0
Alaska,Cantwell,76.0,107.0
Alaska,Emmonak,354.0,407.0
Alaska,Halibut Cove,32.0,39.0
Alaska,Old Harbor,137.0,112.0
Alaska,Akhiok,25.0,32.0
Alaska,Stebbins,206.0,267.0
Alaska,St. Michael,218.0,250.0
Alaska,Diomede,45.0,49.0
Alaska,Game Creek,0.0,0.0
Alaska,Seldovia Village,72.0,92.0
Alaska,Primrose,45.0,54.0
Alaska,Kenai,3830.0,3857.0
Alaska,Fritz Creek,903.0,1053.0
Alaska,Attu Station,0.0,17.0
Alaska,Wainwright,220.0,288.0
Alaska,Ferry,6.0,10.0
Alaska,Kasilof,240.0,291.0
Alaska,Salcha,466.0,529.0
Alaska,Kwethluk,305.0,348.0
Alaska,Manley Hot Springs,39.0,41.0
Alaska,Fox,202.0,364.0
Alaska,Fairbanks,14744.0,16933.0
Alaska,Ester,569.0,743.0
Alaska,Pleasant Valley,258.0,311.0
Alaska,Tenakee Springs,82.0,73.0
Alaska,Chenega,24.0,24.0
Alaska,Nelchina,69.0,102.0
Alaska,Copper Center,145.0,154.0
Alaska,Mendeltna,0.0,26.0
Alaska,Silver Springs,63.0,57.0
Alaska,Alakanuk,405.0,432.0
Alaska,Anderson,58.0,79.0
Alaska,Nuiqsut,249.0,220.0
Alaska,False Pass,25.0,53.0
Alaska,McGrath,146.0,137.0
Alaska,Tununak,149.0,190.0
Alaska,Big Lake,1345.0,1420.0
Alaska,New Stuyahok,261.0,296.0
Alaska,Nightmute,98.0,91.0
Alaska,Galena,257.0,253.0
Alaska,Coldfoot,24.0,108.0
Alaska,Arctic Village,78.0,75.0
Alaska,Kotzebue,1541.0,1747.0
Alaska,Ambler,149.0,150.0
Alaska,Ekwok,43.0,37.0
Alaska,Aleknagik,91.0,113.0
Alaska,Venetie,74.0,67.0
Alaska,Red Dog Mine,18.0,64.0
Alaska,Tanana,105.0,137.0
Alaska,Rampart,35.0,25.0
Alaska,Grayling,86.0,90.0
Alaska,Fort Yukon,250.0,283.0
Alaska,Stony River,13.0,28.0
Alaska,Akiak,190.0,226.0
Alaska,Kiana,133.0,129.0
Alaska,Kivalina,339.0,349.0
Alaska,Anaktuvuk Pass,109.0,165.0
Alaska,Angoon,230.0,293.0
Alaska,Dry Creek,95.0,38.0
Alaska,Susitna,0.0,0.0
Alaska,Lakes,4908.0,5190.0
Alaska,Lake Louise,0.0,9.0
Alaska,Gateway,3610.0,3427.0
Alaska,Fishhook,2855.0,3348.0
Alaska,Farm Loop,583.0,554.0
Alaska,Tuluksak,177.0,238.0
Alaska,Mekoryuk,107.0,119.0
Alaska,Kongiganak,198.0,243.0
Alaska,Kasigluk,269.0,305.0
Alaska,Aniak,230.0,295.0
Alaska,Akutan,261.0,497.0
Alaska,Ruby,113.0,94.0
Alaska,Koliganek,76.0,85.0
Alaska,Kaltag,68.0,104.0
Alaska,Four Mile Road,0.0,4.0
Alaska,Evansville,6.0,5.0
Alaska,Knik-Fairview,8359.0,9154.0
Alaska,Wasilla,4802.0,4873.0
Alaska,Shageluk,23.0,52.0
Alaska,Takotna,8.0,15.0
Alaska,Dillingham,1134.0,1116.0
Alaska,Quinhagak,402.0,394.0
Alaska,Tanaina,4862.0,5658.0
Alaska,Pilot Station,281.0,295.0
Alaska,Port Lions,100.0,90.0
Alaska,Mountain Village,346.0,482.0
Alaska,Scammon Bay,280.0,305.0
Alaska,Point Hope,273.0,319.0
Alaska,Hoonah,373.0,427.0
Alaska,Stevens Village,4.0,7.0
Alaska,Glennallen,197.0,92.0
Alaska,Buckland,268.0,340.0
Alaska,Deering,67.0,87.0
Alaska,Central,23.0,24.0
Alaska,Homer,2976.0,2631.0
Alaska,Soldotna,2576.0,2013.0
Alaska,Aleneva,22.0,5.0
Alaska,Salamatof,327.0,688.0
Alaska,Kodiak,2820.0,3287.0
Alaska,Nikiski,1977.0,2598.0
Alaska,Cohoe,538.0,679.0
Alaska,Nikolaevsk,139.0,122.0
Alaska,Chistochina,56.0,29.0
Alaska,Chitina,58.0,40.0
Alaska,Mentasta Lake,104.0,101.0
Alaska,Tonsina,18.0,10.0
Alaska,Whittier,155.0,156.0
Alaska,Huslia,209.0,195.0
Alaska,Seldovia,111.0,118.0
Alaska,Butte,1869.0,2060.0
Alaska,Eielson AFB,1179.0,1800.0
Alaska,Circle,28.0,46.0
