State,City,Nursery-Pre-School,Kindergarten,1st-4th,5th-8th,9th-12th
Alaska,Womens Bay,13,22,70,44,50
Alaska,Ouzinkie,0,3,7,9,1
Alaska,Larsen Bay,0,0,1,2,4
Alaska,Savoonga,21,35,96,58,98
Alaska,Atmautluak,4,3,18,20,18
Alaska,Brevig Mission,16,16,46,32,30
Alaska,Kodiak Station,40,34,87,105,42
Alaska,Eek,9,16,52,43,41
Alaska,Crooked Creek,5,0,3,1,5
Alaska,Bethel,104,91,494,509,445
Alaska,Kalifornsky,132,63,446,397,397
Alaska,Beluga,0,0,0,0,0
Alaska,Nome,83,62,204,262,225
Alaska,Funny River,31,0,0,31,63
Alaska,Chevak,46,30,108,86,68
Alaska,Cantwell,0,0,6,6,8
Alaska,Emmonak,10,13,64,57,58
Alaska,Halibut Cove,0,0,0,0,0
Alaska,Old Harbor,2,4,11,3,23
Alaska,Akhiok,0,3,7,1,13
Alaska,Stebbins,13,9,49,36,46
Alaska,St. Michael,14,19,58,55,50
Alaska,Diomede,1,4,15,12,1
Alaska,Game Creek,0,0,0,0,0
Alaska,Seldovia Village,4,0,4,2,8
Alaska,Primrose,0,0,0,0,0
Alaska,Kenai,82,116,499,392,349
Alaska,Fritz Creek,11,6,87,99,121
Alaska,Attu Station,0,0,0,0,0
Alaska,Wainwright,11,18,42,43,34
Alaska,Ferry,0,0,0,0,0
Alaska,Kasilof,0,0,69,46,50
Alaska,Salcha,0,17,34,80,71
Alaska,Kwethluk,10,15,52,65,56
Alaska,Manley Hot Springs,0,0,14,4,3
Alaska,Fox,0,0,0,0,0
Alaska,Fairbanks,431,465,1492,1441,1148
Alaska,Ester,37,0,0,50,114
Alaska,Pleasant Valley,0,0,28,27,0
Alaska,Tenakee Springs,0,6,15,0,0
Alaska,Chenega,0,3,4,0,0
Alaska,Nelchina,0,0,64,25,0
Alaska,Copper Center,6,13,13,4,8
Alaska,Mendeltna,0,0,0,0,0
Alaska,Silver Springs,0,0,0,6,3
Alaska,Alakanuk,28,27,84,62,84
Alaska,Anderson,0,0,0,5,4
Alaska,Nuiqsut,26,15,30,29,12
Alaska,False Pass,0,0,3,3,9
Alaska,McGrath,13,0,21,14,8
Alaska,Tununak,2,9,40,30,28
Alaska,Big Lake,27,12,122,125,121
Alaska,New Stuyahok,20,18,43,51,50
Alaska,Nightmute,10,2,6,22,15
Alaska,Galena,21,7,34,37,44
Alaska,Coldfoot,0,0,0,0,0
Alaska,Arctic Village,6,4,21,4,10
Alaska,Kotzebue,65,95,218,214,185
Alaska,Ambler,10,5,24,23,12
Alaska,Ekwok,2,1,3,4,1
Alaska,Aleknagik,2,7,13,14,12
Alaska,Venetie,0,3,7,1,21
Alaska,Red Dog Mine,0,0,0,0,0
Alaska,Tanana,2,4,11,19,4
Alaska,Rampart,0,5,4,11,4
Alaska,Grayling,0,3,25,10,15
Alaska,Fort Yukon,6,16,37,24,45
Alaska,Stony River,2,2,7,2,2
Alaska,Akiak,16,17,35,26,40
Alaska,Kiana,9,5,18,20,23
Alaska,Kivalina,7,19,60,65,40
