None,High_School,Associates,Bachelors,Graduate,Europe,Asia,Africa,Oceania,Americas,Never_Married,Married,Divorced,Separated,Widowed,Female,Male,Black,American_Indian_Alaskan_Native,Asian,Native_Hawaiian_Pacific_Islander,Hispanic_Latino,White,Other,Two_or_More,Median_Income,Unemployment,Population,Nursery_Pre-School,Kindergarten,1st_4th,5th_8th,9th_12th,Violent_Crime
862,1174,819,346,251,0.0,2,11,0,0,29.342,29.48,565,121,362,42.162,2937,1807,5,3,0,273,2960,119,38,24158,2.403,5078,99,72,368,4.175,238,0.079
233,468,108,84,33,0.0,0,0,0,0,31.22,27.154,129,22,126,51.382,598,693,0,0,0,0,537,0,0,16891,0.407,1230,24,50,80,1.382,43,0.0
18,86,124,80,41,0.0,10,0,0,0,16.41,57.436,33,6,32,50.0,195,3,0,16,0,0,352,0,19,32292,1.795,390,0,0,8,2.308,10,0.769
1304,2611,1723,685,711,0.0,203,0,0,0,23.288,35.033,1001,380,805,57.443,4457,3629,4,229,0,1490,4994,1080,306,19279,5.968,10473,229,143,637,5.681,502,0.621
94,89,98,3,2,0.0,3,0,0,0,36.557,24.764,63,5,25,49.292,215,260,0,3,0,0,144,0,17,17057,3.774,424,0,2,10,4.481,29,0.0
742,1264,749,314,153,0.0,57,1,0,0,47.562,19.4,559,118,179,43.382,2682,3003,20,89,0,498,1060,64,145,18936,3.547,4737,96,26,293,2.787,167,0.464
648,800,831,148,155,0.0,115,0,0,0,33.302,23.141,369,147,276,54.5,1921,3314,0,195,0,0,667,0,46,15991,4.263,4222,186,78,383,4.808,332,0.426
229,637,710,423,150,0.0,0,0,0,0,24.348,36.676,359,50,226,50.506,1614,697,45,0,0,13,2444,0,62,29010,0.276,3261,76,38,176,7.666,160,0.184
1484,5936,8455,2589,1281,0.0,628,258,78,0,21.039,40.048,2967,782,842,51.69,16067,15546,136,952,195,4804,10745,1262,1854,28070,5.1,33258,622,622,2082,5.77,1553,0.442
110,174,154,62,59,0.0,0,10,0,0,18.015,50.368,78,5,37,49.632,411,29,6,0,0,33,725,13,12,33333,7.721,816,11,11,38,5.392,39,0.0
277,358,255,34,4,0.0,0,0,0,0,28.99,27.805,175,41,116,51.707,693,136,6,0,0,17,1248,10,26,16026,3.833,1435,16,36,67,4.599,69,0.627
2229,5117,7200,3895,2832,0.0,382,1049,0,0,31.975,29.515,3399,923,1202,54.24,15197,21595,3,738,0,1961,8678,310,783,29495,4.737,33210,850,402,2049,5.417,2142,0.581
440,467,365,172,49,0.0,13,0,0,0,28.322,26.362,160,52,232,51.808,1106,1364,0,13,0,0,908,0,10,16331,1.83,2295,71,83,106,4.139,114,0.697
512,854,721,118,76,0.0,16,0,0,0,29.965,26.713,424,162,175,47.784,1814,1519,0,22,25,94,1682,60,144,16340,4.491,3474,76,22,244,3.598,134,0.72
52,299,193,42,52,0.0,0,0,0,0,20.074,34.294,98,65,61,52.788,508,215,0,0,0,48,777,5,36,27056,2.23,1076,29,14,61,5.483,67,0.279
991,1280,638,82,148,0.0,38,8,0,21,32.135,29.247,588,271,180,35.771,3180,2085,122,49,16,946,1627,182,272,15631,4.221,4951,67,128,314,4.545,423,0.343
172,248,125,61,24,0.0,16,0,0,0,28.222,31.523,107,4,110,49.308,476,6,27,16,0,54,828,54,8,15446,2.343,939,17,2,47,3.514,55,0.0
151,258,162,44,4,0.0,0,0,0,0,34.889,25.307,142,32,30,55.774,360,520,0,0,0,0,294,0,0,19336,4.054,814,2,0,29,3.686,13,0.123
